field,selected_source,backup_sources,phase,selection_rule,source_type
consideration_menu,"Earliest true source: Announcement Form 8-K Exhibit 2.1 Merger Agreement or Exhibit 99.1 press release if the full cash/stock election menu is stated. If not complete there, use the first S-4/S-4A/424B3/DEFM14A that states the final election menu.","S-4/S-4A, 424B3/final prospectus, DEFM14A/proxy, election form/letter of transmittal",Announcement package if present there; otherwise election-making/proxy-registration process,"If all sources agree, pick the earliest filed document. If announcement materials are incomplete or later amended, pick the earliest document whose menu matches the final operative terms.",SEC transaction filing
cash_consideration_per_share,"Earliest true source: Announcement Form 8-K Exhibit 2.1 Merger Agreement or Exhibit 99.1 press release. If the cash amount is only finalized later, use the earliest S-4/S-4A/424B3/DEFM14A with final value.","S-4/S-4A, 424B3, DEFM14A, offer to purchase/Schedule TO-T for tender offers",Announcement package; later corrected/finalized during election-making if amended,"Use announcement value only if it is identical to final operative documents. If changed, earlier stale value is retained as conflict evidence but not selected.",SEC transaction filing
stock_consideration_per_share,"Earliest true source: Announcement Form 8-K Exhibit 2.1 Merger Agreement or Exhibit 99.1 press release if it states shares/value offered. If formulaic, use the earliest document stating the final stock consideration mechanics.","S-4/S-4A, 424B3, DEFM14A, merger proxy/prospectus",Announcement package; otherwise election-making/proxy-registration process,"Pick the earliest document that states the final stock consideration. For floating value/collar deals, retain the formula and pricing period instead of forcing a fixed per-share number.",SEC transaction filing
exchange_ratio,"Earliest true source: Announcement Form 8-K Exhibit 2.1 Merger Agreement or Exhibit 99.1 press release. For amended/collar/floating structures, use the earliest filing that states the final ratio or final ratio formula.","S-4/S-4A, 424B3, DEFM14A, merger agreement amendments",Announcement package; or election-making if ratio is finalized/amended later,"If fixed ratio appears consistently, select earliest. If ratio changes, select earliest document with the final operative ratio/formula.",SEC transaction filing
cash_cap,"Earliest true source: Announcement Form 8-K Exhibit 2.1 Merger Agreement if it states aggregate cash cap or maximum cash election amount. If not explicit/clean, use earliest S-4/S-4A/424B3/DEFM14A with final cap.","S-4/S-4A, 424B3, DEFM14A, election form, letter of transmittal",Announcement package if in merger agreement; otherwise election-making/proxy-registration process,"DEFM14A/424B3 often provides the cleanest summary, but selected_source should still be the earliest document containing the final cap value.",SEC transaction filing
stock_cap,"Earliest true source: Announcement Form 8-K Exhibit 2.1 Merger Agreement if it states aggregate stock cap or maximum stock election amount. If not explicit/clean, use earliest S-4/S-4A/424B3/DEFM14A with final cap.","S-4/S-4A, 424B3, DEFM14A, election form, letter of transmittal",Announcement package if in merger agreement; otherwise election-making/proxy-registration process,"Use earliest final value; flag differences between agreement, prospectus, and final election form.",SEC transaction filing
proration_formula,Earliest true source: Announcement Form 8-K Exhibit 2.1 Merger Agreement if the actual formula is stated. Otherwise use earliest S-4/S-4A/424B3/DEFM14A or letter of transmittal/election form with final proration mechanics.,"DEFM14A, 424B3, S-4/S-4A, letter of transmittal, election form, Schedule TO-T/offer to purchase",Announcement package if formula is in the merger agreement; otherwise election-making process,Do not select vague announcement language. Select the earliest filing with an actual computable formula and final cap definitions.,SEC transaction filing
non_election_default_rule,Earliest true source: first S-4/S-4A/424B3/DEFM14A/election form/letter of transmittal that states how non-electing shares are treated. Merger agreement may be selected only if it clearly states the rule.,"DEFM14A, 424B3, S-4/S-4A, election form, letter of transmittal, Schedule TO-T/offer to purchase",Usually election-making/proxy-registration process; rarely announcement package,"This field can flip the trade sign. Prefer the earliest explicit and operational rule, not a vague summary.",SEC transaction filing
election_deadline,"Earliest true source: election form, letter of transmittal, offer to purchase, or Schedule TO-T that states the final election/expiration deadline. If deadline is extended, use the earliest extension 8-K/press release that states the new final deadline.","DEFM14A, 424B3, S-4/S-4A, Form 425 communications, 8-K/EX-99.1 extension notices",Election-making process; extension notices may appear during election-making or immediately before completion,"If the deadline changes, the original deadline is stale. Selected value should be the earliest filing containing the final operative deadline.",SEC transaction filing / offer material
record_date,"Earliest true source: DEFM14A/proxy notice or S-4/proxy-prospectus that states shareholder record date. For tender offers, may be N/A unless a vote/record holder concept applies.","S-4/S-4A, 424B3, PREM14A, Form 425 proxy communications",Election-making/proxy-registration process,Select earliest document with the final record date used for voting/election eligibility. Flag preliminary proxy dates if final proxy changes them.,SEC transaction filing
