event_id,event_idx,target_name,acquirer_name,announce_date,field_name,field_description,timing_bucket,release_timing,required,covered,missing_required,expected_document_keys,preferred_forms,best_field_score,best_form,best_filing_date,best_document_name,best_sec_url,best_local_path,best_evidence_snippet
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,consideration_menu,"Full menu of merger consideration choices available to target holders, such as cash election, stock election, mixed election, or default/non-election path.",pre_election_trade_entry,"T1 registration/proxy stage or T2 election materials, before the election deadline.",True,True,False,S-4/F-4 registration statement;424B final prospectus;DEFM14A definitive proxy;election form/letter of transmittal,424B3;424B5;S-4;S-4/A;F-4;F-4/A;DEFM14A;PREM14A;EX-99,528,S-4,2019-02-01,s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,"gene stockholders immediately prior to the completion of the merger will be entitled to receive $50.00 in cash, one share of bristol-myers squibb common stock and one contingent value right (each, a “cvr”) for each share of celgene common stock held by them, as described in more detail in the accompanying joint proxy statement/prospectus under the heading “the merger agreement—merger consideration.” based on the closing price of a share of bristol-myers squibb common stock on january 31, 2019, the most recent trading day prior to the date of the accompanying joint proxy statement/prospectus for which this information was available, the cash and stock components of the merger consideration represented approximately $99.37 in value per share of celgene common stock (witho"
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,cash_consideration_per_share,Cash amount payable per target share under the cash election or cash component of the merger consideration.,pre_election_trade_entry,T0 announcement/merger agreement may state headline amount; final source is T1 S-4/424B/DEFM14A or T2 election materials.,True,True,False,merger agreement exhibit;S-4/F-4 registration statement;424B final prospectus;DEFM14A definitive proxy,424B3;424B5;S-4;S-4/A;F-4;F-4/A;DEFM14A;PREM14A;8-K;EX-2;EX-99,136,S-4,2019-02-01,s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,"act, and solely for the purpose of calculating the registration fee required by section 6(b) of the securities act, as the result of (a) the product of (i) $87.31 (the average of the high and low prices of the celgene common stock as reported on the nasdaq global select market on january 28, 2019) and (ii) the estimated number, less (b) $39,685,360,100 (the estimated amount of cash consideration that would be paid by bristol-myers squibb in connection with the merger which is the product of the estimated number and $50.00)). (3) determined on a combined basis with respect to both the shares of bristol-myers squibb common stock and the cvrs to be issued pursuant to the proposed merger described in this registration statement in accordance with section 6(b) of the secur ||| eipt of the letter. the celgene board also discussed bristol-myers squibb’s offer to increase the cash component of the consideration to $57 per share, with a corresponding reduction in the exchange ratio to maintain overall value. the celgene board, following discussion with members of celgene management, determined that it would prefer to keep the mix of consideration of $50 per share in cash and one share of bristol-myers squibb common stock, in light of its view that the stock ownership in the combined company would allow celgene stockholders to participate in the anticipated earnings and growth of a stronger combined company, as well as any synergies resulting from the merger. members of celgene management and the celgene board also discussed that, for purposes ||| lable. the table also shows the implied upfront value of the merger consideration for each share of celgene common stock (without considering any potential cvr payout) as of the same two dates. this implied value was calculated by multiplying the closing sale price of a share of bristol-myers squibb common stock on the relevant date by the exchange ratio and adding $50.00, the cash component of the merger consideration. shares of br"
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,stock_consideration_per_share,Stock consideration payable per target share under the stock election or stock component of the merger consideration.,pre_election_trade_entry,T0 announcement/merger agreement may state headline amount; final source is T1 S-4/424B/DEFM14A or T2 election materials.,True,True,False,merger agreement exhibit;S-4/F-4 registration statement;424B final prospectus;DEFM14A definitive proxy,424B3;424B5;S-4;S-4/A;F-4;F-4/A;DEFM14A;PREM14A;8-K;EX-2;EX-99,2548,S-4,2019-02-01,s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,"bb common stock with an aggregate value of $110 per share. dr. caforio also indicated to mr. alles that the proposal was subject to review and completion of due diligence on celgene and negotiation of mutually acceptable definitive agreements. dr. caforio did not convey to mr. alles during the meeting a specific proposed split between cash and stock, or the manner in which the stock consideration would be converted into an exchange ratio, but dr. caforio noted that bristol-myers squibb was contemplating that the stock portion of the consideration would provide celgene stockholders with ownership in the combined company in the mid-30 percent range. based on the closing price of bristol-myers squibb common stock of $61.75 and celgene common stock of $88.30 on september 2 ||| excluded stock and dissenting stock (each as defined below), will automatically be cancelled and converted into the right to receive $50.00 in cash without interest thereon, which is referred to in this joint proxy statement/prospectus as the cash consideration, one share of bristol-myers squibb common stock, which is referred to in this joint proxy statement/prospectus as the share consideration, and one cvr, which is referred to in this joint proxy statement/prospectus as the cvr consideration. the cash consideration, the share consideration and the cvr consideration are collectively referred to in this joint proxy statement/prospectus as the merger consideration. shares of celgene common stock (i) held in the treasury of celgene or owned by bristol-myers squibb or m ||| n more detail in the accompanying joint proxy statement/prospectus under the heading “the merger agreement—merger consideration.” based on the closing price of a share of bristol-myers squibb common stock on january 31, 2019, the most recent trading day prior to the date of the accompanying joint proxy statement/prospectus for which this information was available, the cash and stock components of the merger consideration represe"
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,exchange_ratio,"Exchange ratio used to convert each target share into acquirer shares, including fixed/floating collar mechanics if applicable.",pre_election_trade_entry,T0 announcement/merger agreement may state it; final pre-election source is T1 S-4/424B/DEFM14A.,True,True,False,merger agreement exhibit;S-4/F-4 registration statement;424B final prospectus;DEFM14A definitive proxy,424B3;424B5;S-4;S-4/A;F-4;F-4/A;DEFM14A;PREM14A;8-K;EX-2,264,S-4,2019-02-01,s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,"gene performance stock units outstanding as of december 31, 2018, and (v) 9,981,122, which is an estimate of the number of shares of celgene common stock issuable in respect of celgene equity awards that may be granted subsequent to december 31, 2018 in compliance with the provisions of the merger agreement described in this registration statement, and (b) a multiple of 1, the exchange ratio in the merger. (2) determined on a combined basis with respect to both the shares of bristol-myers squibb common stock and the cvrs to be issued pursuant to the proposed merger described in this registration statement based on rules 457(c), 457(f)(1) and 457(f)(3) promulgated under the securities act, and solely for the purpose of calculating the registration fee required by s ||| re organizations and entities under the public health service 340b program, pharmaceutical rebates and reimbursement, market factors, competitive product development and approvals, pricing controls and pressures (including changes in rules and practices of managed care groups and institutional and governmental purchasers), economic conditions such as interest rate and currency exchange rate fluctuations, judicial decisions, claims and concerns that may arise regarding the safety and efficacy of in-line products and product candidates, changes to wholesaler inventory levels, variability in data provided by third parties, changes in, and interpretation of, governmental regulations and legislation affecting domestic or foreign operations, including tax obligations, ||| analyses and opinions, the bristol-myers squibb financial advisors assumed an implied value of the merger consideration of $105.37 per share of celgene common stock, consisting of (i) cash consideration of $50.00 per share, (ii) stock consideration of $51.98 per share, based on the closing trading price of bristol-myers squibb common stock on december 31, 2018 of $51.98 and a fixed exchange ratio of one share of bristol-myers squibb common "
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,cash_cap,"Maximum aggregate cash amount, cash election number, or cash allocation cap used in proration.",pre_election_trade_entry,"T1 registration/proxy stage, before election deadline; sometimes repeated in T2 election documents.",True,True,False,DEFM14A definitive proxy;424B final prospectus;S-4/F-4 registration statement;election form/letter of transmittal,DEFM14A;424B3;424B5;S-4;S-4/A;F-4;F-4/A;PREM14A;EX-99,4,425,2019-01-04,0001140361-19-000361.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119000361/0001140361-19-000361.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-01-04_425_000114036119000361/0001140361-19-000361.txt,"for the benefit of the holders of shares of company common stock, for exchange in accordance with this section 2.04 through the exchange agent, (x) certificates (or evidence of shares in book-entry form) representing the shares of parent common stock issuable pursuant to section 2.03(a) in exchange for outstanding shares of company common stock, (y) cash sufficient to pay the aggregate cash consideration payable pursuant to section 2.03(a) and (z) new cvr certificates representing the new cvrs issuable pursuant to section 2.03(a) and the new cvr agreement. parent agrees to make available, directly or indirectly, to the exchange agent from time to time as needed additional cash sufficient to pay any dividends or other distributions to which such holders are entitled pursuant to"
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,stock_cap,"Maximum aggregate stock amount, stock election number, or stock allocation cap used in proration.",pre_election_trade_entry,"T1 registration/proxy stage, before election deadline; sometimes repeated in T2 election documents.",True,False,True,DEFM14A definitive proxy;424B final prospectus;S-4/F-4 registration statement;election form/letter of transmittal,DEFM14A;424B3;424B5;S-4;S-4/A;F-4;F-4/A;PREM14A;EX-99,0,,,,,,
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,proration_formula,"Formula/mechanics governing allocation when cash or stock elections exceed the cap, including oversubscription/undersubscription rules.",pre_election_trade_entry,"T1 registration/proxy stage, before election deadline; operational version may be in T2 election materials.",True,True,False,DEFM14A definitive proxy;424B final prospectus;S-4/F-4 registration statement;election form/letter of transmittal;Schedule TO-T/offer to purchase for tender deals,DEFM14A;424B3;424B5;S-4;S-4/A;F-4;F-4/A;PREM14A;SC TO-T;SC TO-T/A;SC 14D9;SC 14D9/A;EX-99,32,425,2019-01-30,0001140361-19-001957.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119001957/0001140361-19-001957.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-01-30_425_000114036119001957/0001140361-19-001957.txt,ections 17 section 2.8. termination and reduction of commitments 18 section 2.9. repayment of loans; evidence of debt 19 section 2.10. prepayment of loans 19 section 2.11. fees 20 section 2.12. interest 20 section 2.13. alternate rate of interest 21 section 2.14. increased costs 21 section 2.15. break funding payments 22 section 2.16. taxes 23 section 2.17. payments generally; pro rata treatment; sharing of set-offs 26 section 2.18. mitigation obligations; replacement of lenders 27 section 2.19. borrowing subsidiaries 27 section 2.20. [reserved] 29 section 2.21. defaulting lenders 29 article iii representations and warranties 29 section 3.1. organization; powers 29 section 3.2. authorization 29 section 3.3. enforceability 30 section 3.4. governmental approva
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,non_election_default_rule,"Default treatment for shares whose holders do not make a valid election, including whether they are deemed cash, stock, mixed, or non-election shares subject to allocation.",pre_election_trade_entry,"T1 proxy/prospectus stage or T2 election form/letter of transmittal, before election deadline.",True,True,False,DEFM14A definitive proxy;424B final prospectus;S-4/F-4 registration statement;election form/letter of transmittal,DEFM14A;424B3;424B5;S-4;S-4/A;F-4;F-4/A;PREM14A;EX-99,8,425,2019-01-30,0001140361-19-001957.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119001957/0001140361-19-001957.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-01-30_425_000114036119001957/0001140361-19-001957.txt,"borrowing, the initial interest period to be applicable thereto, which shall be a period contemplated by the definition of the term “ interest period ”; (v) the location and number of the account of the company or the other applicable borrowers to which funds are to be disbursed, which shall comply with the requirements of section 2.6. (a); and (vi) the applicable borrower. if no election as to the type of borrowing is specified, then the requested borrowing shall be a eurocurrency borrowing with an interest period of one month if such borrowing is requested at least three business days prior to the date of such proposed borrowing or an abr borrowing otherwise. if no interest period is specified with respect to any requested eurocurrency borrowing, then the com"
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,election_deadline,"Deadline or expiration time for submitting a valid cash, stock, mixed, or tender/election instruction.",pre_election_trade_entry,"T2 election/tender materials, before the deadline; sometimes initially estimated in T1 proxy/prospectus.",True,True,False,election form/letter of transmittal;Schedule TO-T/offer to purchase;DEFM14A definitive proxy;424B final prospectus,DEFM14A;424B3;424B5;S-4;S-4/A;F-4;F-4/A;PREM14A;SC TO-T;SC TO-T/A;SC 14D9;SC 14D9/A;EX-99,48,425,2019-01-30,0001140361-19-001957.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119001957/0001140361-19-001957.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-01-30_425_000114036119001957/0001140361-19-001957.txt,"c)(3)(a) of the code, is not a 10 percent shareholder (within the meaning of section 881(c)(3)(b) of the code) of the company, is not a controlled foreign corporation related to the company (within the meaning of section 881(c)(3)(c) of the code) and is not conducting a trade or business in the united states with which the relevant interest payments are effectively connected), properly completed and duly executed by such non-u.s. lender claiming complete exemption from, or reduced rate of, u.s. federal withholding tax on payments by the company under this agreement. such forms shall be delivered by each lender on or before the date it becomes a party to this agreement (or, in the case of a participant, on or before the date such participant becomes a participant hereu"
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,record_date,"Record date for stockholder voting and/or election eligibility, if specified.",pre_election_trade_entry,"T1 proxy/prospectus stage, before shareholder meeting/election deadline.",True,True,False,DEFM14A definitive proxy;S-4/F-4 registration statement;424B final prospectus,DEFM14A;PREM14A;424B3;424B5;S-4;S-4/A;F-4;F-4/A,464,S-4,2019-02-01,s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,"special meeting, if necessary to solicit additional proxies if there are not sufficient votes at the time of the bristol-myers squibb special meeting, or any adjournment or postponement thereof, to approve the issuance of shares of bristol-myers squibb common stock in the merger. bristol-myers squibb’s board of directors has fixed the close of business on march 1, 2019 as the record date for the determination of the stockholders entitled to vote at the bristol-myers squibb special meeting or any adjournment or postponement thereof. only stockholders of record at the record date are entitled to notice of, and to vote at, the bristol-myers squibb special meeting or any adjournment or postponement thereof. bristol-myers squibb anticipates commencing its solicitat ||| in this notice as the bristol-myers squibb special meeting, if necessary to solicit additional proxies if there are not sufficient votes at the time of the bristol-myers squibb special meeting, or any adjournment or postponement thereof, to approve the issuance of shares of bristol-myers squibb common stock in the merger. bristol-myers squibb’s board of directors has fixed the close of business on march 1, 2019 as the record date for the determination of the stockholders entitled to vote at the bristol-myers squibb special meeting or any adjournment or postponement thereof. only stockholders of record at the record date are entitled to notice of, and to vote at, the bristol-myers squibb special meeting or any adjournment or postponement thereof. bristol-myers squibb ant ||| t or postponement thereof, to approve the issuance of shares of bristol-myers squibb common stock in the merger. bristol-myers squibb’s board of directors has fixed the close of business on march 1, 2019 as the record date for the determination of the stockholders entitled to vote at the bristol-myers squibb special meeting or any adjournment or postponement thereof. only stockholders of record at the record date are entitled to notice "
